@relation NLP

@attribute Tweet string
@attribute Category {SAMSUNG,IPHONE,VIVO,OPPO,XIAOMI,LENOVO}
@attribute Sentiment {POSITIVE,NEUTRAL,NEGATIVE,UNCATEGORIZED}

@data
'beli-VBT jelek-JJ ',IPHONE,UNCATEGORIZED
'tinggi-JJ mantap-JJ cd-NNP cdb-NNP ',IPHONE,UNCATEGORIZED
'suka-VBI tidur-VBI xxnya-SYM ',IPHONE,UNCATEGORIZED
'charger-NNP tiga-CDP duga-VBI iphone-NNP china-NNP ',IPHONE,UNCATEGORIZED
'lepas-VBI bahawa-SC suka-VBI tidak-NEG milik-VBT ',IPHONE,UNCATEGORIZED
'charger-NNP duga-VBI muncul-VBT chargerpalsu-NNP ',IPHONE,UNCATEGORIZED
'charger-NNP rusak-JJ kendor-JJ ',IPHONE,UNCATEGORIZED
'parah-JJ ',IPHONE,UNCATEGORIZED
'your-FW iphone-JJ bagus-IN ',IPHONE,UNCATEGORIZED
'suka-VBI dapat-MD magic-VBI tricks-CDP with-FW iphone-NNP ',IPHONE,UNCATEGORIZED
'of-FW the-FW tips-JJ pindah-VBI android-FW ',IPHONE,UNCATEGORIZED
'suka-VBI ',IPHONE,UNCATEGORIZED
'butuh-VBT cepat-JJ bagus-IN normal-JJ ',IPHONE,UNCATEGORIZED
'tinggi-JJ mantap-JJ cd-NNP cdb-NNP ',IPHONE,UNCATEGORIZED
'bagus-IN beli-VBT makan-VBT ',IPHONE,UNCATEGORIZED
'suka-VBI ',IPHONE,UNCATEGORIZED
'bagus-IN ',IPHONE,UNCATEGORIZED
'rusak-JJ rusak-JJ bentar-VBI ',IPHONE,UNCATEGORIZED
'suka-VBI iphone-NNP button-VBT samsunguser-JJ ',IPHONE,UNCATEGORIZED
'jap-JJ beli-VBT suka-VBI beli-VBT beli-VBT ',IPHONE,UNCATEGORIZED
'xpa-SYM mantap-JJ ',IPHONE,UNCATEGORIZED
'suka-VBI keras-JJ ',IPHONE,UNCATEGORIZED
'bagus-NN tidak-NEG suka-VBI sm-IN lain-JJ ',IPHONE,UNCATEGORIZED
'suka-VBI iphone-NNP dibandingin-VBT jujur-JJ ',IPHONE,UNCATEGORIZED
'cpt-NNP suka-VBI beli-VBT cpt-NNP tidak-NEG hang-RB tidak-NEG hang-RB bh-SC hancur-RB ',IPHONE,UNCATEGORIZED
'dengar-VBT suka-VBI lestariscreenekamatra-JJ mari-VBI nikmat-JJ ',IPHONE,UNCATEGORIZED
'benci-VBI iphone-JJ x-SYM ',IPHONE,UNCATEGORIZED
'suka-VBI antik-JJ antik-JJ ',IPHONE,UNCATEGORIZED
'mati-VBI hape-VBI bagus-IN tidak-NEG pengin-VBI iphone-NNP ',IPHONE,UNCATEGORIZED
'jepang-JJ suka-VBI xxnya-SYM ',IPHONE,UNCATEGORIZED
'suka-VBI iphone-NNP ',IPHONE,UNCATEGORIZED
'',IPHONE,UNCATEGORIZED
'parah-JJ yogya-NNP gugat-VBI rpi-NNP miliar-CDP xxnya-SYM ',IPHONE,UNCATEGORIZED
'ye-NNP percaya-JJ and-FW and-FW bagus-IN please-FW thang-FW you-FW ',IPHONE,UNCATEGORIZED
'to-FW date-JJ suka-VBI iphone-JJ annual-IN x-SYM ',IPHONE,UNCATEGORIZED
'rusak-JJ tidak-NEG negatif-JJ ',IPHONE,UNCATEGORIZED
'cukupi-JJ oled-IN iphone-NNP ',IPHONE,UNCATEGORIZED
'tinggi-JJ mantap-JJ cd-NNP cdb-NNP ',IPHONE,UNCATEGORIZED
'bagus-IN iphone-NNP ',IPHONE,UNCATEGORIZED
'murah-JJ bagus-IN dapur-MD tangguh-JJ ',IPHONE,UNCATEGORIZED
'sakit-JJ sentuh-VBT ',IPHONE,UNCATEGORIZED
'suka-VBI the-FW iphone-NNP ',IPHONE,UNCATEGORIZED
'mantap-JJ ',IPHONE,UNCATEGORIZED
'charger-NNP tidak-NEG nambah-CC tetep-JJ kosong-JJ tidak-NEG dinyalain-VBT rusak-JJ ',IPHONE,UNCATEGORIZED
'tidak-NEG suka-VBI iya-NNP ',IPHONE,UNCATEGORIZED
'jatuh-VBI rusak-JJ good-FW ',IPHONE,UNCATEGORIZED
'bagus-NN pening-JJ segi-RB ',IPHONE,UNCATEGORIZED
'tinggi-JJ mantap-JJ cd-NNP cdb-NNP ',IPHONE,UNCATEGORIZED
'suka-VBI ',IPHONE,UNCATEGORIZED
'bagus-IN ma-DT masuk-VBT islam-NNP iphoneipad-NNP ',IPHONE,UNCATEGORIZED
'suka-VBI iphone-NNP ',IPHONE,UNCATEGORIZED
'suka-VBI bengkak-JJ iphone-JJ x-SYM ',IPHONE,UNCATEGORIZED
'kaya-JJ suka-VBI ',IPHONE,UNCATEGORIZED
'pasai-JJ benci-VBI ',IPHONE,UNCATEGORIZED
'benci-VBI iphone-NNP tunggu-VBT beli-VBT sonya-NNP ',IPHONE,UNCATEGORIZED
'rusak-JJ iphone-NNP ',IPHONE,UNCATEGORIZED
'awk-JJ suka-VBI iphone-JJ suka-VBI suka-VBI you-FW ',IPHONE,UNCATEGORIZED
'idabagus-NNP ',IPHONE,UNCATEGORIZED
'wingi-FW rusak-JJ ',IPHONE,UNCATEGORIZED
'a-FW bagus-IN tepuk-RB a-FW ',IPHONE,UNCATEGORIZED
'parah-JJ yogya-NNP gugat-VBI rpi-NNP miliar-CDP xxnya-SYM ',IPHONE,UNCATEGORIZED
'jujur-JJ tidak-NEG suka-VBI ',IPHONE,UNCATEGORIZED
'xiaomi-SYM murah-JJ milik-VBT bagus-IN ',IPHONE,UNCATEGORIZED
'',IPHONE,UNCATEGORIZED
'suka-VBI beli-VBT ',IPHONE,UNCATEGORIZED
'mantap-JJ iphone-NNP ',IPHONE,UNCATEGORIZED
'rusak-JJ ',IPHONE,UNCATEGORIZED
'kaya-JJ rusak-JJ ',IPHONE,UNCATEGORIZED
'suka-VBI keras-JJ ',IPHONE,UNCATEGORIZED
'sss-SC ',IPHONE,UNCATEGORIZED
'tinggi-JJ mantap-JJ cd-NNP cdb-NNP ',IPHONE,UNCATEGORIZED
'android-FW ',IPHONE,UNCATEGORIZED
'iphone-JJ bagus-IN retak-JJ ',IPHONE,UNCATEGORIZED
'suka-VBI ',IPHONE,UNCATEGORIZED
'bagus-IN ',IPHONE,UNCATEGORIZED
'jelek-JJ mencet-VBT susah-JJ tidak-NEG ',IPHONE,UNCATEGORIZED
'suka-VBI mesti-SC milik-VBT lihat-VBT ',IPHONE,UNCATEGORIZED
'member-RB suka-VBI selfie-IN pulak-RB ',IPHONE,UNCATEGORIZED
'beli-VBT butuh-VBT bagus-IN ',IPHONE,UNCATEGORIZED
'suka-VBI on-FW the-FW iphone-JJ bantu-VBI naikin-VBI percaya-JJ ',IPHONE,UNCATEGORIZED
'xtahu-SYM mantap-JJ tidak-NEG ',OPPO,UNCATEGORIZED
'ramai-JJ suka-VBI rj-NNP ',OPPO,UNCATEGORIZED
'opposelfiefest-JJ daretodream-IN keren-JJ ',OPPO,UNCATEGORIZED
'bagus-IN sih-PRL tidak-NEG cm-NNP mentok-VBT ',OPPO,UNCATEGORIZED
'berselfie-VBT quality-NNP bagus-IN ',OPPO,UNCATEGORIZED
'beli-VBT keren-JJ ',OPPO,UNCATEGORIZED
'intensif-JJ beli-VBT bagus-IN ',OPPO,UNCATEGORIZED
'intensif-JJ diberikanpembeli-VBT bagus-IN ',OPPO,UNCATEGORIZED
'rm-NNP crow-FW take-NEG credit-NNP jatuh-VBI blame-NNP ',OPPO,UNCATEGORIZED
'bagus-IN ',OPPO,UNCATEGORIZED
'beli-VBT bagus-IN ',OPPO,UNCATEGORIZED
'intensif-JJ beli-VBT bagus-IN ',OPPO,UNCATEGORIZED
'suka-VBI lihat-VBT tampil-VBT cantik-JJ cocok-JJ oppoopposelfiefest-JJ ',OPPO,UNCATEGORIZED
'',OPPO,UNCATEGORIZED
'jatuh-VBI kecewa-JJ beli-VBT ',OPPO,UNCATEGORIZED
'beli-VBT tinggi-JJ intensif-JJ bagus-NN ',OPPO,UNCATEGORIZED
'keren-JJ selfie-IN langsung-JJ dipesan-VBT shopping-SC ',OPPO,UNCATEGORIZED
'tidak-NEG ',OPPO,UNCATEGORIZED
'siap-JJ tidak-NEG keren-JJ ',OPPO,UNCATEGORIZED
'intensif-JJ beli-VBT bagus-IN ',OPPO,UNCATEGORIZED
'mantap-JJ positif-JJ opposelfiefest-JJ ',OPPO,UNCATEGORIZED
'handmade-RB saji-RB ',OPPO,UNCATEGORIZED
'keren-JJ bilang-SC keren-JJ ',OPPO,UNCATEGORIZED
'keren-JJ tampil-VBT pas-JJ best-JJ opposelfiefest-JJ ',OPPO,UNCATEGORIZED
'keren-JJ hebat-JJ is-FW ',OPPO,UNCATEGORIZED
'pecah-VBI keren-JJ ',OPPO,UNCATEGORIZED
'ya-UH denger-IN denger-IN bagus-NN yaa-SC mel-VBT tuhh-NNP beli-VBT beli-VBT ',OPPO,UNCATEGORIZED
'keren-JJ banget-JJ tampil-VBT pulangnyaa-RB ',OPPO,UNCATEGORIZED
'saji-RB keren-JJ oppo-JJ ',OPPO,UNCATEGORIZED
'pecah-VBI parah-JJ suka-VBI tampil-VBT ',OPPO,UNCATEGORIZED
'lumayan-JJ riah-JJ positif-JJ tidak-NEG beli-VBT tidak-NEG rusak-JJ atas-IN rk-NNP ',OPPO,UNCATEGORIZED
'keren-JJ habis-VBI opposelfiefest-JJ ',OPPO,UNCATEGORIZED
'nettv-NNP x-SYM pecah-VBI parah-JJ suka-VBI crewnya-NNP ',OPPO,UNCATEGORIZED
'keren-JJ ',OPPO,UNCATEGORIZED
'thnya-FW keren-JJ baik-JJ bangga-JJ ofans-FW ',OPPO,UNCATEGORIZED
'puas-JJ ',OPPO,UNCATEGORIZED
'serta-CC korea-NNP keren-JJ ',OPPO,UNCATEGORIZED
'best-JJ keren-JJ opposelfiefest-JJ ',OPPO,UNCATEGORIZED
'oppo-JJ bagus-IN ',OPPO,UNCATEGORIZED
'keren-JJ bangga-JJ netv-NNP ',OPPO,UNCATEGORIZED
'keren-JJ positif-JJ dijakarta-VBT positif-JJ opposelfiefest-JJ ',OPPO,UNCATEGORIZED
'',OPPO,UNCATEGORIZED
'keren-JJ oppo-JJ ',OPPO,UNCATEGORIZED
'suka-VBI pas-JJ ma-DT rio-JJ ',OPPO,UNCATEGORIZED
'bagus-NN oppoindonesia-JJ ',OPPO,UNCATEGORIZED
'bagus-IN ',OPPO,UNCATEGORIZED
'keren-JJ ',OPPO,UNCATEGORIZED
'keren-JJ ',OPPO,UNCATEGORIZED
'tampil-VBT mantap-JJ pas-JJ best-JJ opposelfiefest-JJ ',OPPO,UNCATEGORIZED
'jatuh-VBI jatuh-VBI opposelfiefest-JJ ',OPPO,UNCATEGORIZED
'jelek-JJ ',OPPO,UNCATEGORIZED
'tampil-VBT jatuh-VBI good-FW youraisa-FW ',OPPO,UNCATEGORIZED
'nyanyi-JJ jatuh-VBI opposelfiefest-JJ ',OPPO,UNCATEGORIZED
'tampil-VBT jatuh-VBI good-FW youraisa-FW ',OPPO,UNCATEGORIZED
'rusak-JJ nih-JJ ',OPPO,UNCATEGORIZED
'keren-JJ isyana-NNP tunggu-VBT tidak-NEG positif-JJ ',OPPO,UNCATEGORIZED
'suka-VBI suka-VBI mungil-RB oppofisteknologiselfie-JJ ',OPPO,UNCATEGORIZED
'kece-JJ bagus-IN sempat-RB opposelfiefest-JJ ',OPPO,UNCATEGORIZED
'bagus-IN ',OPPO,UNCATEGORIZED
'keren-JJ ',OPPO,UNCATEGORIZED
'suka-VBI selfie-IN mudah-JJ positif-JJ oppofisteknologiselfie-JJ ',OPPO,UNCATEGORIZED
'',OPPO,UNCATEGORIZED
'sebenernya-IN the-FW best-JJ is-FW the-FW besthp-JJ bagus-NN ',OPPO,UNCATEGORIZED
'jatuh-VBI retak-JJ mati-VBI negatif-JJ ',OPPO,UNCATEGORIZED
'keren-JJ yourself-FW ',OPPO,UNCATEGORIZED
'',OPPO,UNCATEGORIZED
'keren-JJ jernih-JJ ',OPPO,UNCATEGORIZED
'bagus-NN kece-JJ ',OPPO,UNCATEGORIZED
'keren-JJ yak-VBT ',OPPO,UNCATEGORIZED
'keren-JJ mantap-JJ ',OPPO,UNCATEGORIZED
'si-RP cantik-JJ bagus-IN cantik-JJ opposelfiefest-JJ ',OPPO,UNCATEGORIZED
'bagus-IN ',OPPO,UNCATEGORIZED
'keren-JJ ',OPPO,UNCATEGORIZED
'keren-JJ ',OPPO,UNCATEGORIZED
'keren-JJ mantap-JJ ',OPPO,UNCATEGORIZED
'suka-VBI tampil-VBT menangk-VBT ',OPPO,UNCATEGORIZED
'bilang-SC bagus-NN mendingxiaomi-VBT ',OPPO,UNCATEGORIZED
'langsung-JJ bilang-SC keren-JJ ',OPPO,UNCATEGORIZED
'suka-VBI ',OPPO,UNCATEGORIZED
'keren-JJ bestselfie-JJ oppo-JJ ',OPPO,UNCATEGORIZED
'tidak-NEG ',OPPO,UNCATEGORIZED
'mantap-JJ competition-FW dare-IN to-FW blogger-FW ',OPPO,UNCATEGORIZED
'',OPPO,UNCATEGORIZED
'bagus-NN oppo-JJ ',OPPO,UNCATEGORIZED
'bagus-IN ',OPPO,UNCATEGORIZED
'suka-VBI ',OPPO,UNCATEGORIZED
'bagus-IN ',OPPO,UNCATEGORIZED
'bagus-IN ',OPPO,UNCATEGORIZED
'bagus-WP xiaomioppo-SYM ',OPPO,UNCATEGORIZED
'tidak-NEG notif-NEG suka-VBI tidak-NEG masuk-VBT ',OPPO,UNCATEGORIZED
'sehungosong-SC tidak-NEG notif-NEG suka-VBI tidak-NEG masuk-VBT ',OPPO,UNCATEGORIZED
'tidak-NEG notif-NEG suka-VBI tidak-NEG masuk-VBT ',OPPO,UNCATEGORIZED
'tidak-NEG notif-NEG suka-VBI tidak-NEG masuk-VBT ',OPPO,UNCATEGORIZED
'tidak-NEG notif-NEG suka-VBI tidak-NEG masuk-VBT ',OPPO,UNCATEGORIZED
'tidak-NEG notif-NEG suka-VBI tidak-NEG masuk-VBT ',OPPO,UNCATEGORIZED
'sehungosong-SC tidak-NEG notif-NEG suka-VBI tidak-NEG masuk-VBT ',OPPO,UNCATEGORIZED
'tidak-NEG notif-NEG suka-VBI tidak-NEG masuk-VBT ',OPPO,UNCATEGORIZED
'beli-VBT beli-VBT ribu-CDP ratus-CDP beli-VBT habis-VBI ',OPPO,UNCATEGORIZED
'x-SYM adik-NNP ninja-NNP x-SYM adik-NNP beli-VBT second-IN hand-RB okay-JJ x-SYM dah-JJ a-FW ',OPPO,UNCATEGORIZED
'keren-JJ natural-JJ bagus-IN ',OPPO,UNCATEGORIZED
'',OPPO,UNCATEGORIZED
'kental-JJ jatuh-VBI retak-JJ ',OPPO,UNCATEGORIZED
'tampil-VBT cantik-JJ iya-NNP yukk-NNP suka-VBI ',OPPO,UNCATEGORIZED
'best-JJ selfie-IN opposelfiefest-JJ ',OPPO,UNCATEGORIZED
'tidak-NEG keren-JJ ',OPPO,UNCATEGORIZED
'tidak-NEG rusak-JJ negatif-JJ ',OPPO,UNCATEGORIZED
'bagus-NN oppo-JJ xiaomi-SYM bagus-IN ',OPPO,UNCATEGORIZED
'bagus-IN bagus-IN ',OPPO,UNCATEGORIZED
'bagus-NN bagus-IN bagus-NN ',OPPO,UNCATEGORIZED
'tidak-NEG puas-JJ rusak-JJ neog-NNP ',OPPO,UNCATEGORIZED
'hitz-JJ awet-JJ muda-JJ just-NNP ',OPPO,UNCATEGORIZED
'suka-VBI aneh-JJ yah-SC ',OPPO,UNCATEGORIZED
'x-SYM yes-NNP ag-IN blek-NNP kat-VBT x-SYM ',OPPO,UNCATEGORIZED
'keren-JJ yabiasa-VBT diadain-VBT keren-JJ ',OPPO,UNCATEGORIZED
'keren-JJ ',OPPO,UNCATEGORIZED
'keren-JJ besok-NNP opposelfiefest-JJ daretodream-IN ',OPPO,UNCATEGORIZED
'keren-JJ keren-JJ ',OPPO,UNCATEGORIZED
'keren-JJ kece-JJ oppoloveindonesia-JJ ',OPPO,UNCATEGORIZED
'nya-JJ bagus-IN ',OPPO,UNCATEGORIZED
'jelek-JJ apa-WP keren-JJ sang-RP opponeoj-JJ ',OPPO,UNCATEGORIZED
'resmi-JJ ',OPPO,UNCATEGORIZED
'bagus-IN suka-VBI selpi-SC ',OPPO,UNCATEGORIZED
'mantap-JJ tinggal-VBI berani-JJ tidak-NEG kaya-JJ samsung-VBT positif-JJ ',OPPO,UNCATEGORIZED
'suka-VBI tulis-VBT ',OPPO,UNCATEGORIZED
'tidak-NEG suka-VBI selfie-IN bening-JJ ',OPPO,UNCATEGORIZED
'tidak-NEG suka-VBI selfie-IN gede-JJ bagus-NN yaa-SC ',OPPO,UNCATEGORIZED
'legal-JJ bagus-IN yeah-NNP tidak-NEG oppo-JJ yah-VBT bagus-IN ',OPPO,UNCATEGORIZED
'bagus-NN iya-NNP ',OPPO,UNCATEGORIZED
'charge-NNP charging-NNP cepat-JJ rusak-JJ tidak-NEG ',OPPO,UNCATEGORIZED
'undang-VBT suka-VBI penuh-JJ ',OPPO,UNCATEGORIZED
'beli-VBT keren-JJ ',OPPO,UNCATEGORIZED
'terima-VBT niat-NNP ',OPPO,UNCATEGORIZED
'kece-JJ parah-JJ wajib-CC rizqi-JJ ',OPPO,UNCATEGORIZED
'jelek-JJ positif-JJ oppoloveindonesia-JJ ',OPPO,UNCATEGORIZED
'suka-VBI ',OPPO,UNCATEGORIZED
'keren-JJ ',OPPO,UNCATEGORIZED
'bagus-NN ',OPPO,UNCATEGORIZED
'memding-VBT bagus-IN awet-JJ ',OPPO,UNCATEGORIZED
'hadir-VBI ',OPPO,UNCATEGORIZED
'gembira-JJ suka-VBI sempat-RB ',OPPO,UNCATEGORIZED
'keren-JJ opposelfiefest-JJ daretodream-IN ',OPPO,UNCATEGORIZED
'keren-JJ prima-JJ opposelfiefest-JJ daretodream-SC ',OPPO,UNCATEGORIZED
'keren-JJ ',OPPO,UNCATEGORIZED
'malaysia-NNP x-SYM terima-VBT suka-VBI ',OPPO,UNCATEGORIZED
'suka-VBI tidak-NEG asli-JJ neos-NNP ',OPPO,UNCATEGORIZED
'hancur-RB ',OPPO,UNCATEGORIZED
'aduuh-FW jatuh-VBI oppo-JJ ',OPPO,UNCATEGORIZED
'tahan-JJ ',OPPO,UNCATEGORIZED
'oppo-JJ butuh-VBT capai-JJ sempurna-JJ ',OPPO,UNCATEGORIZED
'suka-VBI bagus-IN hinyai-CC juga-RB ',OPPO,UNCATEGORIZED
'dua-CDP ',OPPO,UNCATEGORIZED
'twitter-JJ x-SYM ',OPPO,UNCATEGORIZED
'mantap-JJ senang-JJ diigunakan-VBT iya-NNP ',OPPO,UNCATEGORIZED
'jatuh-VBI ',OPPO,UNCATEGORIZED
'suka-VBI handmade-RB yogyakarta-FW ',OPPO,UNCATEGORIZED
'seru-JJ bareng-JJ ',OPPO,UNCATEGORIZED
'seru-JJ ',OPPO,UNCATEGORIZED
'a-FW ejf-FW chipset-FW cpu-NNP quad-NNP cepat-JJ ',OPPO,UNCATEGORIZED
'dah-JJ keren-JJ opposelfiefest-JJ menujuselfiefest-VBT ',OPPO,UNCATEGORIZED
'rbeik-NNP ',OPPO,UNCATEGORIZED
'rusak-JJ inbonya-NNP me-VBT positif-JJ ',OPPO,UNCATEGORIZED
'suka-VBI samar-JJ yey-FW oppofisteknologiselfie-JJ ',OPPO,UNCATEGORIZED
'suka-VBI igmp-NNP isi-NNP oppofisteknologiselfie-JJ ',OPPO,UNCATEGORIZED
'lumayan-JJ bagus-IN jelek-JJ ganteng-JJ ',OPPO,UNCATEGORIZED
'hang-RB suka-VBI ramai-JJ ',OPPO,UNCATEGORIZED
'bagus-IN ',OPPO,UNCATEGORIZED
'bagus-IN ',OPPO,UNCATEGORIZED
'smarphone-RB hadir-VBI resmi-JJ ',OPPO,UNCATEGORIZED
'yakali-VBT ',OPPO,UNCATEGORIZED
'undang-VBT ',OPPO,UNCATEGORIZED
'lambat-JJ lambat-JJ ',OPPO,UNCATEGORIZED
'mewah-JJ ccok-NNP bagus-IN ',OPPO,UNCATEGORIZED
'antugan-IN jatuh-VBI oppoloveindonesia-JJ ',OPPO,UNCATEGORIZED
'keren-JJ oppoloveindonesia-JJ ',OPPO,UNCATEGORIZED
'bagus-IN ane-IN cocok-JJ bagus-NN ',OPPO,UNCATEGORIZED
'',OPPO,UNCATEGORIZED
'ane-IN ny-JJ suka-VBI mati-VBI lgtrs-RB ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'keren-JJ oppo-JJ ',OPPO,UNCATEGORIZED
'cakap-JJ percaya-JJ yes-FW ',OPPO,UNCATEGORIZED
'bagus-NN xiao-SYM ',OPPO,UNCATEGORIZED
'ohh-FW yeon-FW ',OPPO,UNCATEGORIZED
'keren-JJ dah-JJ oppoxraisa-JJ ',OPPO,UNCATEGORIZED
'handmade-RB saji-RB ',OPPO,UNCATEGORIZED
'suka-VBI selfie-SC ',OPPO,UNCATEGORIZED
'suka-VBI ',OPPO,UNCATEGORIZED
'suka-VBI screen-IN main-VBI oppofisteknologiselfie-JJ ',OPPO,UNCATEGORIZED
'tidak-NEG oppo-JJ rj-NNP adik-NNP bagus-IN jernih-JJ ',OPPO,UNCATEGORIZED
'suka-VBI handmade-RB yogyakarta-FW ',OPPO,UNCATEGORIZED
'keren-JJ ',OPPO,UNCATEGORIZED
'murah-JJ juta-CDP ',OPPO,UNCATEGORIZED
'tidak-NEG suka-VBI oppo-JJ suka-VBI ',OPPO,UNCATEGORIZED
'suka-VBI ',OPPO,UNCATEGORIZED
'bagus-IN cocok-JJ ',OPPO,UNCATEGORIZED
'suka-VBI best-JJ smartphone-IN fis-FW and-FW samsung-JJ ',OPPO,UNCATEGORIZED
'suka-VBI rahasia-JJ sempurna-JJ newselfieexpert-NNP ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'jatuh-VBI pulak-RB ',OPPO,UNCATEGORIZED
'opposelfiefest-JJ suka-VBI selfie-IN live-FW on-FW tidak-NEG ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'oppo-JJ bagus-IN ',OPPO,UNCATEGORIZED
'jatuh-VBI pulak-RB ',OPPO,UNCATEGORIZED
'suka-VBI digagalin-VBT at-IN oppo-JJ ',OPPO,UNCATEGORIZED
'',OPPO,UNCATEGORIZED
'bangun-VBI tambah-RB percaya-JJ ',OPPO,UNCATEGORIZED
'',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'bangun-VBI kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'bangun-VBI kuat-JJ ',OPPO,UNCATEGORIZED
'suka-VBI ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'a-FW kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'suka-VBI handmade-RB yogyakarta-FW ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'lari-VBI selfie-IN ikut-VBI lari-VBI profesional-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'tidak-NEG keren-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'bile-SC jaya-JJ letih-JJ cantik-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'cpt-NNP suka-VBI beli-VBT cpt-NNP tidak-NEG hang-RB tidak-NEG hang-RB bh-SC hancur-RB ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'keren-JJ ',OPPO,UNCATEGORIZED
'keren-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'jatuh-VBI ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'keren-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'bangun-VBI kuat-JJ ',OPPO,UNCATEGORIZED
'bangun-VBI kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'suka-VBI ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'cepat-JJ rusak-JJ neo-NNP mati-VBI oppo-JJ melulu-VBT ',OPPO,UNCATEGORIZED
'bangun-VBI kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'jawab-VBI kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'ningkatin-JJ sedia-CC ',OPPO,UNCATEGORIZED
'',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'bagus-IN ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ semangatguecarague-RB ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'kuat-JJ ',OPPO,UNCATEGORIZED
'hape-RB tidak-NEG sih-JJ bagus-IN ',OPPO,UNCATEGORIZED
'yaapadahal-VBT ',OPPO,UNCATEGORIZED
'nampak-CC pas-JJ suka-VBI degrade-IN ',OPPO,UNCATEGORIZED
'tidak-NEG oppo-JJ urus-VBT murah-JJ bagus-IN ',OPPO,UNCATEGORIZED
'bagus-IN ofans-FW baru-JJ ',OPPO,UNCATEGORIZED
'bagus-IN oppo-JJ ',OPPO,UNCATEGORIZED
'jugak-RB oppo-JJ ',OPPO,UNCATEGORIZED
'takat-NEG ',OPPO,UNCATEGORIZED
